カタカナ語,日本語
アーカイブ,保存記録
アイデンティティー,独自性
アイドリングストップ,停車時エンジン停止
アイミツ,相見積もり
アウトソーシング,外部委託
アカウンタビリティー,説明責任
アクションプログラム,実行計画
アクセシビリティー,利用しやすさ
アクセス,接続
アグリー,同意
アサイン,割り当てる
アサップ,できるだけ早く
アジェンダ,議題
アジャイル,俊敏な
アズイズ,現状
アセスメント,影響評価
アセット,資産
アナリスト,分析家
アポ,約束
アミューズメント,娯楽
アメニティー,快適環境
アライアンス,提携先
イシュー,問題
イニシアティブ,主導
イニシャルコスト,初期費用
イノベーション,技術革新
インキュベーション,起業支援
インサイダー,内部関係者
インサイト,潜在的な欲求
インセンティブ,意欲刺激
インターンシップ,就業体験
インタラクティブ,双方向的
インバウンド,内向きの
インパクト,衝撃
インフォームドコンセント,納得診療
インフラ,社会基盤
エスカレ,報告
エスカレーション,報告
エビデンス,証拠
エンパワーメント,能力開化
エンフォースメント,法執行
オーガナイザー,まとめ役
オーソライズ,公認
オーナーシップ,所有権
オピニオンリーダー,世論形成者
オブザーバー,陪席者
オフサイトセンター,原子力防災センター
オマージュした,参考にした
オマージュする,参考にする
オペレーション,公開市場操作
オリエンテーション,最初の指示
オルタナティブ,代替案
オポチュニティ,機会
オンスケ,予定通りに
オンデマンド,注文対応
ガイドライン,指針
カウンターパート,対応相手
カスタムメード,特注生産
ガバナンス,統治
キャズム,障害
キャッチアップ,追い上げ
キャパ,収容能力
キャパシティ,収容能力
キャピタルゲイン,資産益
キュレーション,情報整理
クライアント,お客様
クラウドソーシング,不特定多数に常務委託する業務形態
グランドデザイン,全体構想
クリアな,はっきりした
クリアに,はっきりした
クリエイティブ,制作物
クリティカル,批判的な
クロージング,決断
グローバリゼーション,地球規模化
グローバル,地球規模
グローバルスタンダード,世界基準
ケア,手当て
ケーススタディー,事例研究
コア,中核
コアコンピタンス,圧倒的に上回るレベルの能力
コストカット,費用削減
コストリダクション,費用削減
コージェネレーション,熱電併給
コミット,約束する
コミットメント,関与
コミュニケ,共同声明
コミュニティー,地域社会
コモディティ,不明瞭
コラボレーション,共同制作
コンセプト,基本概念
コンセンサス,合意
コンソーシアム,共同事業体
コンテンツ,情報内容
コンティンジェンシープラン,緊急時の対応計画
コンバージョン,最終的な成果
コンファレンス,会議
コンプライアンス,法令遵守
コンペティター,競合相手
コンポスト,たい肥
サーベイランス,調査監視
サジェスト,提案
サプライサイド,供給側
サプリメント,栄養補助食品
サマリー,要約
サムターン,内鍵〔うちかぎ〕つまみ
シーズ,種〔たね〕
シェア,共有
シナジー,相乗効果
シフト,移行
シミュレーション,模擬実験
ジャストアイディア,思いつき
シュリンク,縮小
ジョイン,参加
ショート,不足
シンクタンク,政策研究機関
スキーム,計画
スキル,技能
スクーリング,登校授業
スクリーニング,ふるい分け
スケール,増減
スケールメリット,規模効果
スコープ,範囲
スタンス,立場
ステレオタイプ,紋切り型
ステークホルダー,利害関係者
ストックヤード,一時保管所
セーフガード,緊急輸入制限
セーフティーネット,安全網
セカンドオピニオン,第二診断
セキュリティー,安全
セクター,部門
セグメント,顧客層
セットバック,壁面後退
ゼロエミッション,排出ゼロ
センサス,全数調査
ソフトランディング,軟着陸
ソリューション,問題解決
タイト,厳しい
ダイバーシティ,多様性
タイムラグ,時間差
ターゲティング,的を絞る
ターゲット,目標
タスク,作業課題
タスクフォース,特別作業班
ダンピング,不当廉売
ツール,道具
デイサービス,日帰り介護
ディシジョン,意思決定
デジタルデバイド,情報格差
デッドライン,最終締め切り
デファクトスタンダード,標準化した基準
デフォ,再建不履行
デフォルト,標準
デポジット,預かり金
デリバリー,配達
ドクトリン,原則
トップダウン,上層部の意思決定
ドナー,臓器提供者
ドライブ,前進する
トラウマ,心の傷
ドラスティック,徹底的で過激
ドラフト,草案
トレーサビリティー,履歴管理
トレンド,傾向
ナノテクノロジー,超微細技術
ナレッジ,付加価値のある情報
ニーズ,需要
ニッチ,隙間
ネグレクト,育児放棄
ネゴシエート,交渉
ノウハウ,技術
ノーティス,お知らせ
ノーマライゼーション,等生化
ノマド,移動しながら生活すること
ノルマ,目標数字
ノンステップバス,無段差バス
バーチャル,仮想
パートナーシップ,協力関係
ハーモナイゼーション,協調
バイオテクノロジー,生命工学
バイオマス,生物由来資源
ハイブリッド,複合型
ハウスリスト,顧客情報一覧
ハザードマップ,災害予測地図
バジェット,予算
バズマーケティング,口コミ市場戦略
バックアップ,支援
バックオフィス,事務管理部門
バッファ,緩衝
パブリックインボルブメント,住民参画
パブリックコメント,意見公募
バリアフリー,障壁なし
パラ,並列
パラレル,並列
ハレーション,影響
ヒートアイランド,都市高温化
ビオトープ,生物生息空間
ビジネスモデル,二者関係
ビジョン,展望
ピボット,少し変更
ファクトベース,事実に基づいている
フィルタリング,選別
フィードバック,意見
フィジビリ,前もって行われる調査・研究
フィジビリティスタディ,前もって行われる調査・研究
フィックス,最終決定
フェーズ,段階
フェローシップ,研究奨学金
フォローアップ,追跡調査
プッシュ,後押し・推薦
プライオリティー,優先順位
ブラッシュアップ,見直
プランディング,計画し、認識されるようにすること
フラット,公平な
フリーランス,自由契約
フルコミット,かかわりを請け負う
ブレークスルー,突破
フレームワーク,枠組み
プレスト,小グループでアイディアを出し合うアイディア発想法
プレゼンス,存在感
プレゼン,発表
プレゼンテーション,発表
フレックスタイム,自由勤務時間制
プロトタイプ,原型
フロンティア,新分野
ペイ,割に合う
ベストプラクティス,過去最高の事例
ベネフィット,利益
ペルソナ,典型的なユーザー像
ベンチャー,新興企業
ペンディング,保留
ボーダーレス,無境界
ポートフォリオ,資産構成
ポジショニング,自社製品の立ち位置
ポジティブ,積極的
ポテンシャル,潜在能力
ボトルネック,支障
マイノリティ,少数派
マジョリティ,多数派
マイルストーン,進捗管理のための節目
マージン,粗利益
マーケティング,市場戦略
マーチャント,通販サイト
マクロ,巨視的
マスタープラン,基本計画
マスト,絶対外せないもの
マター,担当
マネジメント,経営管理
マネタイズ,収益化
マルチメディア,複合媒体
マンパワー,人的資源
ミーティング,会議
ミスマッチ,不釣り合い
ミッション,使節団
メイクセンス,理解
メソッド,方法
メディカルチェック,医学的検査
メンタルヘルス,心の健康
モアベター,より良いこと
モータリゼーション,車社会化
モチベーション,動機付け
モニタリング,継続監視
モビリティー,移動性
モラトリアム,猶予
モラルハザード,倫理崩壊
ユーザー,利用者
ユーザビリティ,ユーザーの使いやすさ
ユニバーサルサービス,全国一律サービス
ユニバーサルデザイン,万人向け設計
ライフサイクル,生涯過程
ライフライン,生活線
ライブラリー,図書館
リアルタイム,即時
リードタイム,事前所要時間
リーフレット,ちらし
リスク,危険度
リスクヘッジ,対策
リスケ,日程変更
リスケジュール,納期の延長
リスペクト,尊敬
リソース,経営資源
リターナブル,回収再使用
リデュース,ごみ発生抑制
リテラシー,能力
リニューアル,刷新
リバイズ,改訂
リバウンド,揺り戻し
リマインド,思い出すの
リユース,再使用
リリース,発表
レシピエント,移植患者
レスポンス,返答
ロードプライシング,道路課金
ロードマップ,進め方
ローンチ,少ししかないものの、種類が豊富なもの
ログイン,接続開始
ワーキンググループ,作業部会
ワークシェアリング,仕事の分かち合い
ワークショップ,研究集会
ワークライフバランス,仕事と生活の調和
ワンストップ,一箇所
ASAP,なるべく早く
B to B,企業向けビジネス
B to C,消費者向けビジネス
KPI,目標達成度
