方言,日本語
あえべ,いこう
あがる,入学する
あごつる,一歩ずつ進む
あしぇる,かき混ぜる
あずける,与える
あわえに,たまに
いくれてんげ,いい加減
いだまし,惜しい
いっぱだ,たびたび
うしきたま,たくさん
うずる,似合う
うだてる,捨てる
うるがす,浸す
うろたぐ,あわてる
えがっしゃえ,行きなさい
おげない,長持ちしない
おしょーし,すまない
おじる,降りる
おっかがる,寄りかかる
おどげでなえ,容易でない
おひゃらがす,からかう
おぼえっだ,知っている
おぼご,赤ん坊
おぼごなす,出産する
おもやみ,気が重い
おやす,はやす
かうぇ,恥ずかしい
かえっぱり,これっぽっち
かがぼし,まぶしい
かだる,話す
かちゃばぐ,ひっかく
かっちゃ,さかさま
かづける,他人のせいにする
かます,かき回す
がおる,衰弱する
がらがら,いそいで
きまる,終わる
ぎしゃばる,気張る
ぎっつい,きつい
けげし,賢い
けなり,うらやましい
けろ,くれ
げっぺ,最下位
こちょびて,くすぐったい
ころどや,一軒家
じょーさね,簡単だ
じんぎ,遠慮
せわしない,うるさい
たがぐ,持って移動する
はともた,びっくりする
ほや,電球
まいでれ,待っていろ
まぐまぐてう,吐き気がする
まよう,弁償する
みあんべ,体調
みろばや,見たわけがない
むがさり,花嫁
むんつける,ふてくされる
めじょけね,かわいそうだ
もじゃくたらね,どうしようもない
もっけだ,気の毒だ
もんちくりだす,蒸し返す
やちゃくちゃね,乱暴だ
やぢゃがね,役に立たない
やんやん,がやがや
よすれ,留守番
よぼ,顔つき
らんきなる,夢中になる